Nro_Carrera,Numero,Nombre_Carrera,Distancia_Pista,Caballo_Padre,Kilos,Jinete,Preparador,Indice,Ultimas_Llegadas,Fecha_Ult,Dist_Serie_Ult,Cps_Tpo_Ult,Div_Ult,Peso_Fis,Stud_Colores,Observaciones
18,12,IVORY (4963),"1200m Arena",PEDRINHO (Gstaad li),55,Jr. A. Mora,Cl. Navarro A.,5,3cA 2A 13cA,07/12,1.200 9-5,21 cpo: 1:12.09,16.9,482,Tetito Ignacio Azul Cruz Blanco M. Blanco Bra. Az,
18,13,IVORY (4963),"1200m Arena",QUIEN ME PILLO (Midshipman),55,C. Ortega,S. Morales G.,5,2cA 5cA 5A,15/12,1.400 7-2,5 1/4 1:26.92,5.9,438,Mero Mero Rojo Ban. Blanco M. En Ruedas Gr,
18,14,IVORY (4963),"1200m Arena",CABLE A TIERRA (Fantasmagoric),54,A. Apablaza,R. Toledo M.,4,2cA 9cA 5cP,15/12,1.000 7-3,5 1/4 0:58.83,12,430,Lor Kedimar Verde Trebol Amarillo M. En Rombas,
18,15,IVORY (4963),"1200m Arena",BEHIND THE SUN (Patternrecogn),55,R. Fuenzalida,F. Gonzalez S.,5,4cA 9cA 6cA,15/12,1.400 7-2,6 cpos. 1:26.92,24.7,402,Garage Jcs Negro Cruz De Malta Rojo M. Y Gr. Bli,
19,1,INDIA AZUL (4964),"1200m Arena",EMA COOCK (Newfoundland),57,P. Reyes,Jn. Rodriguez R.,12,5h IcA 15A,12/12,1.000 14-11,17 1/2 0:58.63,20.4,439,Manojitos Blanco Celeste Y Negro Listado,
19,2,INDIA AZUL (4964),"1200m Arena",SOY EL CANTANTE (Patternrecoç),57,L. Gonzalez,R. Sanchez Q.,12,8h,12/12,1.000 11-10,1/2 сро 0:59.85,20,508,Super Super Amarillo Y Rojo A Cuadritos M. Y Gr.,Salto hacia adentro al partir [cite: 818]
19,3,INDIA AZUL (4964),"1200m Arena",REY HOTU (Ma Town),57,C. Ortega,P. Lopez P.,12,10cA 9cA 2cA,01/12,1.200 Condi,10 cpo: 1:12.04,18.4,428,Aimani Azul Chevrones Fucsia M. Azul Gr. Listad,
19,4,INDIA AZUL (4964),"1200m Arena",RAPIDO Y VELOZ (Good Samarita),57,G. Rodriguez,Cl. Bermal G.,12,th 1h 7h,13/12,1.200 14-13,5 3/4 1.10.94,23.5,451,Mar Y Sol-Amarillo Y Rojo A Cuadrites M. Rajo,
19,5,INDIA AZUL (4964),"1200m Arena",PATMAHO (Grand Daddy),57,B. Sotu,Js. Araya B.,12,12A 7cA 12A,15/12,1.400 19-13,11 3/4 1:25.22,18,522,Benvic Azul Fj. Y Gr. Naranjo,
19,6,INDIA AZUL (4964),"1200m Arena",BOY SCOUT (Hinz),57,Jon. A. Castillo,A. Parra D.,12,11cA 5cA 4cA,05/12,1.000 12-10,2 3/4 0:59.13,8.1,431,Bucarest Blanco Fj. M. Y Gr. Morado,
19,7,INDIA AZUL (4964),"1200m Arena",NEOLIBERAL (Practical Joke),57,D. Carrasco,R. Montesino S.,12,10cA IcA 13A,12/12,1.000 14-11,13 1/2 0:58.63,21.9,432,Guerrero De La Vida Rojo Estrellas Y Bra. Negr,
19,8,INDIA AZUL (4964),"1200m Arena",EL SOM CENTAURO (Iron Clad),57,W. Quinteros,S. Alvarado P.,12,IcA 2A 6cA,28/11,1.000 15-13,11 3/4 0:58.22,15.3,468,Mis Dos Amores Blanco Cruz Y Anillos Negros,Se cargaba en el curso de la carrera [cite: 818]
19,9,INDIA AZUL (4964),"1200m Arena",PUNTO QUIEBRE (Annual Report),57,B. Troncoso,L. Parra G.,12,9cA 7h 10h,06/12,1.200 13-12,10 1/2 1.12.29,6.4,468,El Vetera Negra Flor De Lis Anillos Y Gr. Naranj,
19,10,INDIA AZUL (4964),"1200m Arena",JE T'AIME (Cupid),56,Joh. Gonzalez,S. Morales G.,11,4A 2A BCA,15/12,1.000 14-11,3 1/4 0:58.02,18.4,429,Tamara Agustina Negro Estrellas Verde Mngs Vern,
19,11,INDIA AZUL (4964),"1200m Arena",REY DEL ESTERO (Patternrecogni),56,J. Herrera,H. E. Ulloa P.,11,2A 12A 7A,01/12,1.400 10-2,1/2 сра 1:26.72,2.8,432,Nanao Azul Ban. M. Y Gr. Blanco Bra. Azul,
19,12,INDIA AZUL (4964),"1200m Arena",ANFIELD ROAD (Distorted Econor),56,J. Toro,A. Fernandez L.,11,8cP 12A 4cP,07/12,1.000 15-11,23 3/4 0:57.20,159.3,468,Milna Amarillo Y Rojo Por Mitad Vertical M. Alter,
19,13,INDIA AZUL (4964),"1200m Arena",EN HONOR A TITO (Patternrecog),56,R. Covarrubias,F. Gonzalez S.,11,15cA 12h 15cP,15/12,1.400,13.9,7 1/4 1:25.35,23,494,Santico Blanco Hombros Bra. Anillos Y Gr. Azu,
19,14,INDIA AZUL (4964),"1200m Arena",GRAN KURU (Exaggerator),56,L. C. Gonzalez,A. Parra D.,11,13cA 6A 7A,07/12,1.200 15-9,6 1/4 1:10.94,4.7,513,Vendaval Turquesa Hombreras Y Gr. Rojo,
19,15,INDIA AZUL (4964),"1200m Arena",TERCIADOR (Classic Empire),57,A. Alvarez,H. Manriquez F.,12,10P 12A 1CA,21/11,1.200 14-12,6 cpos. 1:11.15,8.7,539,El Estero L.C.A. Turquesa M. Marado Dos Bra. An,
